name,fuel,capacity_mw,efficiency,var_om_eur_mwh,co2_kg_per_kwh,turbine_type,efficiency_category,source,notes,confidence,ref,source_full,must_run_note,notes_updated
Eemshaven A/B (RWE),Coal,1580.0,0.46,1.0,,Supercritical coal boiler (2 units ~790 MW each),Supercritical coal (>=46%),RWE operator website (benelux.rwe.com/en/locations-and-projects/eemshavencentrale) [primary],Coal. Net electrical efficiency 46% confirmed by RWE operator website (benelux.rwe.com). Power-Technology.com states 46.2%; 0.46 used as net.,PRIMARY,[1],RWE (2026). Eemshavencentrale. https://benelux.rwe.com/en/locations-and-projects/eemshavencentrale,,"Supercritical coal 1560 MW, commissioned 2015. Currently co-firing up to 25% biomass."
Maasvlakte 3 (MPP3),Coal,1070.0,0.46,1.0,,Supercritical coal boiler 1100 MW,Supercritical coal (>=46%),Uniper operator (uniper.energy); Dutch Coal Phase-Out Act documentation (open.overheid.nl) [primary],"Coal. Uniper case study states 47% gross; 0.46 used as net. Capacity 1,100 MW confirmed. Dutch Coal Phase-Out Act (open.overheid.nl): net >= 44%.",PRIMARY,"[6, 7]",Uniper (2024). Maasvlakte Power Plant 3. https://www.uniper.energy; Wet verbod op kolen bij elektriciteitsproductie. open.overheid.nl. https://open.overheid.nl/documenten/96b2045a-9802-441d-aad9-02f124aa16bf/file,,"Supercritical coal 1070 MW, Uniper, commissioned 2016. Net efficiency >=44% per Coal Phase-Out Act."
Rotterdam 1 (Onyx),Coal,731.0,0.45,1.0,,Ultra-supercritical once-through boiler,Supercritical coal (>=46%),Onyx Power operator website (onyx-power.com/en/locations/power-plant-rotterdam): '45% efficiency' [primary],"Coal. Ultra-supercritical 731 MW net. Formerly Engie Rotterdam 11, sold to Riverstone Holdings (Onyx Power) 2019. Phase-out compensation agreed Dec 2021; closure deadline end 2030.",PRIMARY,[8],Onyx Power (2024). Power Plant Rotterdam. https://www.onyx-power.com/en/locations/power-plant-rotterdam/,,"Subcritical/supercritical coal 736 MW, Riverstone/Onyx."
Amer (Amercentrale),Biomass,631.0,0.436,2.0,,Subcritical pulverised coal/biomass boiler,Subcritical biomass/coal,Open Power System Data (2020). Conventional power plants. https://doi.org/10.25832/conventional_power_plants/2020-10-01 [fallback]; GEM wiki for operational data,Biomass fuel price approximated using coal spot price (proxy). No open-access daily pellet price data available. Stated as limitation in paper Section 5. No primary source for efficiency found; 43.6% is within the typical subcritical range (38-44%) for a unit of this vintage.,SECONDARY,[35],"Kalavasta (2020) Notitie noodzaak en mogelijkheden productiebeperking Nederlandse kolencentrales in de periode 2021-2024, https://www.urgenda.nl/wp-content/uploads/2021/01/Notitie-productiebeperking-kolencentrales-FINAL.pdf",,"Subcritical biomass/coal, RWE, 540 MW. Coal-to-biomass transition 2016-2025 per GEM. CO2=0 for biomass under EU ETS Reg 2018/2066 Art 38(2). Coal price used as biomass fuel price proxy."
Flevo 4/5 (Maxima),Gas CCGT,907.0,0.6,0.75,,Alstom/Ansaldo GT26 (2 units),H-class CCGT (>=60%),"Ansaldo Energia press release 2023 (ansaldoenergia.com): first GT26 MXL3 at Maxima-Flevo, >60% CCGT; Power Technology [primary]","Gas CCGT. Two GT26 gas turbines at Lelystad (Flevoland), ENGIE. MXL2 era (2018-2022): ~59% CCGT. MXL3 deployed spring 2023: >60% CCGT. Use 0.600 as period average for meritorder_NL.csv. Historical 2017-2022 CSVs use 0.590. Same GT26 turbine family as Claus C.",PRIMARY,[13],Ansaldo Energia (2023). MXL3 upgrade at ENGIE Maxima-Flevo. https://www.ansaldoenergia.com/about-us/media-center/press-releases/detail-press-releases/ansaldo-energia-will-deploy-worlds-first-cutting-edge-mxl3-upgradeat-engie-maxima-flevo-power-plant-in-the-netherlands,,"H-class CCGT, Alstom/Ansaldo GT26 with MXL2/MXL3 upgrade, 59.5-60.5% efficiency, +35 MW capacity upgrade."
Diemen 34 CCGT,Gas CCGT,435.0,0.59,0.75,,Siemens SGT5-4000F + SST5-5000 steam turbine,F-class CCGT (56-60%),Power Technology confirms SGT5-4000F; Hemweg 9 Vattenfall primary source confirms 59% for this turbine configuration [secondary],"Gas CCGT. 435 MW, Amsterdam Diemen, Vattenfall. Same SGT5-4000F + SST5-5000 turbine as Hemweg 9 (59% confirmed from primary source). Commissioned 2012.",PRIMARY,[15],Vattenfall (2026). Stadsverwarming uit elektriciteitscentrals. https://www.vattenfall.nl/stadsverwarming/warmtenetten-en-warmtebronnen/elektriciteitscentrales-voor-stadswarmte/,,"F-class CCGT, Siemens SGT5-4000F + SST5-5000, 60% design efficiency per operator."
Enecogen 10/20,Gas CCGT,928.0,0.59,0.75,,Siemens SGT5-4000F (2 units),F-class CCGT (56-60%),enecogen.nl: 'efficiency of 59%'; power-technology.com/projects/enecogen-ccgt confirms Siemens SGT5-4000F [primary],Gas CCGT. Two Siemens SGT5-4000F gas turbines. 870 MW (2x435 MW). Rotterdam-Europoort. Commissioned 2011. Operator states 59% net efficiency. Previous source assumption of Mitsubishi turbines is incorrect.,PRIMARY,[10],Enecogen BV (2024). General information. https://enecogen.nl/en/general-information/,,"F-class CCGT, Siemens SGT5-4000F, 870 MW, EP NL/Eneco, commissioned 2011."
Hemweg 9,Gas CCGT,440.0,0.59,0.75,,Siemens SGT5-4000F + SST5-5000 steam turbine,F-class CCGT (56-60%),Vattenfall powerplants.vattenfall.com/hemweg-9: '59% efficiency'; power-technology.com/projects/hemweg-9-power-plant-amsterdam confirms SGT5-4000F + SST5-5000 [primary],"Gas CCGT. 435 MW gross, Amsterdam, Vattenfall. Commissioned May 2012. EPC and turbines by Siemens. Replaces coal Hemweg 7.",PRIMARY,"[11, 15]",Vattenfall (2024). Power plants: Hemweg 9. https://powerplants.vattenfall.com/hemweg-9/; Vattenfall (2026). Stadsverwarming uit elektriciteitscentrals. https://www.vattenfall.nl/stadsverwarming/warmtenetten-en-warmtebronnen/elektriciteitscentrales-voor-stadswarmte/,,"F-class CCGT, Siemens SGT5-4000F + SST5-5000, 435 MW, Vattenfall, commissioned 2012."
Sloecentrale 10/20,Gas CCGT,870.0,0.6,0.75,,Siemens SGT5-4000F (2 units) + SST5-5000 steam turbine,F-class/upgraded CCGT (>=60%),Sloecentrale BV operator website (sloecentrale.nl) [primary],Gas CCGT. Two units each 435 MW (870 MW total). Siemens SGT5-4000F turbines. Commissioned 2010. Electrical efficiency 58.7% from operator.,PRIMARY,[9],EP NL BV (2026) https://epnl.nl/companies/sloe-centrale/,,"F-class CCGT, confirmed 58.7% from operator. Upgraded 2024-2025 to >60% per EP Power Europe. Use 60% for post-2024 runs, 58.7% for earlier years."
Claus C 2/3/4/5,Gas CCGT,1304.0,0.58,0.75,,Alstom GT26 (3 units) + 1 steam turbine,H-class CCGT (>=60%),"Power Magazine Top Plants (powermag.com/top-plantsclaus-c): 'above 59%', heat rate 6107 kJ/kWh; benelux.rwe.com/en/locations-and-projects/claus-power-plant [primary]","Gas CCGT. Three Alstom GT26 + one steam turbine, 1309 MW. Maasbracht (Limburg). Repowering of Claus B (1977). Heat rate 6107 kJ/kWh = 3600/6107 = 58.95% net. Same GT26 turbine family as Flevo 4/5 (Maxima).",PRIMARY,"[12, 3]","Power Magazine (2012). Top Plants: Claus C CCGT, Maasbracht. https://www.powermag.com/top-plantsclaus-c-combined-cycle-power-plant-massbracht-limburg-province-netherlands/; RWE (2018). RWE Interim Statement https://www.rwe.com/-/media/RWE/documents/05-investor-relations/finanzkalendar-und-veroeffentlichungen/2018-Q3/RWE-interim-statement-Q1-Q3-2018.pdf",,"H-class CCGT, Alstom GT26, 1300 MW total, RWE, commissioned 2012."
