plant_name,event_type,event_date,detail,source,entsoe_code,notes
Hemweg 8 (coal ret. 2020),decommissioned,2019-12-20,Subcritical coal 630 MW closed,"Vattenfall (2016). Nuon wil op termijn stoppen met kolen. https://group.vattenfall.com/nl/nieuws/nieuws/2016/nuon-wil-op-termijn-stoppen-met-kolen/; European Commission (2020). State Aid SA.51374. https://ec.europa.eu/competition/state_aid/cases1/202025/284556_2165085_151_2.pdf; ICSID DS17638 (2023). https://icsidfiles.worldbank.org/icsid/ICSIDBLOBS/OnlineAwards/C9474/DS17638_En.pdf",49W000000000045Y,Shared ENTSO-E code with Hemweg 9 gas CCGT. Present in model 2018-2019 yearly stacks only.
Hemweg 9 (gas CCGT),commissioned,2012-05-01,Gas CCGT 440 MW replaces Hemweg coal complex,"Vattenfall (2024). Power plants: Hemweg 9. https://powerplants.vattenfall.com/hemweg-9/; Power Technology (2012). https://www.power-technology.com/projects/hemweg-9-power-plant-amsterdam/",49W000000000045Y,Present in all yearly stacks (2018-2025). Same ENTSO-E code as Hemweg 8.
Swentibold Chemelot,decommissioned,2021-12-01,Original CHP unit 209 MW closed; replaced by new unit same day,"RWE (2024). Swentibold cogeneration plant. https://benelux.rwe.com/en/locations-and-projects/swentibold-power-plant/",49W000000000061-,Old code decommissioned. New code (49W0000000001217) commissioned 2021-12-01.
Swentibold Chemelot (replacement),decommissioned,2024-01-01,Replacement unit 209 MW decommissioned,ENTSO-E BZNL installed capacity data 2024,49W0000000001217,Absent from 2024-2025 yearly stacks.
Bergum 10GT/20GT Friesland,decommissioned,2023-04-19,OCGT peakers 2x72 MW decommissioned,"Global Energy Monitor (2024). Bergum power station. https://www.gem.wiki/Bergum_power_station",49W0000000001233 + 49W000000000135X,Absent from 2023-2025 yearly stacks. ENTSO-E confirms by absence in 2023 file.
Moerdijk 1 CHP,mothballed,2018-02-01,CHP 348 MW mothballed by RWE/Essent; partial restart 2021 but re-mothballed,"EEX Transparency (2018). RWE: Mothballing of Dutch CHP Moerdijk 1. https://www.eex-transparency.com/news/market-information/detail/rwe-mothballing-of-dutch-chp-power-station-moerdijk-1",49W000000000063W,Capacity set to 0 MW in model from 2018 onward. Still in yearly files flagged. Verify against ENTSO-E transparency for paper.
Eemshaven 10/20/30 (Magnum),code_replacement,2021-12-01,Old ENTSO-E code replaced by new code; same plant and capacity continues,ENTSO-E BZNL installed capacity data,49W000000000044- -> 49W000000000119V,Model handles both codes mapping to same plant. Seamless in yearly stacks.
Rijnmond 1,commissioned,2017-06-06,Gas CHP-CCGT 810 MW commissioned,"EP NL (2024). Rijnmond centrale. https://epnl.nl/rijnmond-centrale/",49W0000000001128,First full year in model: 2018.
Flevo 4/5 (Maxima),efficiency_upgrade,2023-04-01,GT26 MXL3 upgrade deployed; CCGT efficiency increases from ~59% to >60%,"Ansaldo Energia (2023). MXL3 upgrade at ENGIE Maxima-Flevo. https://www.ansaldoenergia.com/about-us/media-center/press-releases/detail-press-releases/ansaldo-energia-will-deploy-worlds-first-cutting-edge-mxl3-upgradeat-engie-maxima-flevo-power-plant-in-the-netherlands",,Model uses eta=0.590 for 2018-2022 and eta=0.600 from 2023.
Amer (Amercentrale),fuel_switch,2016-01-01,Coal 100% -> coal/biomass 50%/50% cofiring begins,"Global Energy Monitor. Amer power station. https://www.gem.wiki/Amer_power_station (accessed 2026-05-28)",,CO2 intensity halved (biomass = 0 under EU ETS Art.38(2)). Fuel price proxy: coal spot price.
Amer (Amercentrale),fuel_switch,2023-07-01,Cofiring increases to 20% coal / 80% biomass,"Global Energy Monitor. Amer power station. https://www.gem.wiki/Amer_power_station (accessed 2026-05-28)",,Implemented mid-year split in build_mei_with_blends(). See amer_fuel_mix.csv.
Amer (Amercentrale),fuel_switch,2025-01-01,Full biomass conversion — 0% coal / 100% biomass,"Global Energy Monitor. Amer power station. https://www.gem.wiki/Amer_power_station; RWE operator website (benelux.rwe.com)",,CO2 intensity = 0 kg/kWh_e under EU ETS from 2025. Fuel price proxy still coal spot.
Old Maasvlakte 1 (subcritical coal),decommissioned,2017-07-19,Subcritical coal 535 MW decommissioned,ENTSO-E BZNL installed capacity data 2017,49W000000000100F,Pre-study period (model starts 2018). Not in any yearly stack. Excluded from CODE_TO_PLANT in rebuild_historical.py.
Old Maasvlakte 2 (subcritical coal),decommissioned,2017-07-19,Subcritical coal 535 MW decommissioned,ENTSO-E BZNL installed capacity data 2017,49W000000000101D,Pre-study period. Not in any yearly stack. Excluded from CODE_TO_PLANT.
Merwedekanaal 11,decommissioned,2017-06-30,Gas CHP 103 MW decommissioned,ENTSO-E BZNL installed capacity data 2017,49W000000000091R,Pre-study period. Not in any yearly stack.
